longitude,latitude
-73.9320511884,40.6677105156
-74.1368525978,40.5777688463
-74.1684181845,40.5654066549
-73.9513901423,40.7750676161
-73.8646597121,40.7196192371
-74.2537601811,40.5016499258
-73.8277144238,40.8673901829
-73.8802470585,40.7440510168
-73.9062885452,40.6982385207
-73.8967928162,40.7849263002
-73.9788627955,40.6505998728
-73.7954842864,40.6517591928
-73.9866365833,40.7779577093
-73.7994306622,40.7016148702
-73.7440024497,40.6086821305
-73.7838562408,40.6892044168
-73.7352078381,40.6844962071
-73.9802304476,40.7320877406
-74.210021397,40.566092106
-73.7193319811,40.7323151516
-73.9403539273,40.6176861571
-73.9028607263,40.7390745366
-73.9054090999,40.6490946453
-73.9458864511,40.7891823822
-74.1690276268,40.6260278659
-73.7799498062,40.6757580327
-74.1791800071,40.5656369133
-73.8975633148,40.9002944477
-73.947589543,40.6168901612
-74.1933768543,40.6267437715
-73.9205635162,40.7752418792
-74.1887159343,40.5613729413
-73.8888698631,40.6869710005
-73.8596635589,40.8619095961
-73.8021098093,40.6579245466
-74.1346375197,40.5822850419
-73.9317315006,40.6167859586
-73.756241712,40.6555653473
-73.9992366377,40.6168310015
-73.8992338591,40.7661068089
-73.8550184346,40.7543135057
-73.789232485,40.7360759024
-73.9510105179,40.7920712219
-73.9241150918,40.6515635577
-73.8398330575,40.7351676842
-73.7515934017,40.6838160958
-73.8179115014,40.7576579518
-74.2297358644,40.5153563045
-73.7860596735,40.8755578738
-73.8871890133,40.813750252
-73.8348417793,40.8523048505
-74.029912525,40.6256389834
-73.7633023325,40.6499691016
-73.7142387183,40.7519190554
-74.2033348934,40.514783951
-73.8754214497,40.7102457295
-73.840198688,40.8932319191
-73.8852632627,40.7026540989
-74.1974069104,40.5832666094
-73.9405190498,40.6512714751
-73.8235620545,40.6198671927
-74.1431591047,40.6246532748
-73.8536885082,40.8613938445
-74.1669107032,40.615217983
-73.886912355,40.7026443688
-73.8711411378,40.8312150307
-73.8693589553,40.6573214625
